PNword	review
깔	15 일 에 받 아 20 일 인 오늘 개봉 하 아 윈도우 를 깔 고 제대로 보 았 습니다
설치	빅스마일 행사 때 구매 하 앗 는데 크 고 좋 네요 윈도우 를 직접 설치 하 아야 하 아서 바로 쓰 어 보 지 는 못하 앗 지만 외형 스팩만 으로 도 상당히 만족 하 고 잇 습니다
설치	윈도우 업데이트 설치 오류 로 엘지 드라이버 설치 에 애먹 었 는데 그것 말고 이 는 설치 에 크 ᆫ 어려움 은 없 었 습니다 
설치	윈도우 업데이트 설치 오류 로 엘지 드라이버 설치 에 애먹 었 는데 그것 말고 이 는 설치 에 크 ᆫ 어려움 은 없 었 습니다 
설치	윈도우 업데이트 설치 오류 로 엘지 드라이버 설치 에 애먹 었 는데 그것 말고 이 는 설치 에 크 ᆫ 어려움 은 없 었 습니다
깔	초기 에 문제 가 생기 어 용산 으로 직접 방문 하 는 일 이 생기 어서 좀 그러 엇 지만 친절히 교환 하 아 주 시 고 윈도우 도 직접 깔 아 주 시 었 어요
설치	그 ㅎ ㅜ 집 에 있 는 usb 를 통하 아 윈도우 를 설치 과정 에서 조금 버벅 거리 었 지만 금방 설치 를 하 었 습니다 
설치	그 ㅎ ㅜ 집 에 있 는 usb 를 통하 아 윈도우 를 설치 과정 에서 조금 버벅 거리 었 지만 금방 설치 를 하 었 습니다
설치	윈도우 설치 ㅎ ㅜ 각종 드라이버 를 설치 하 는데 조금 이상 하 ᆫ 소리 도 나 면서 설치 가 되 며 재 부팅 을 자주 하긴 하 ㅂ니다 
설치	윈도우 설치 ㅎ ㅜ 각종 드라이버 를 설치 하 는데 조금 이상 하 ᆫ 소리 도 나 면서 설치 가 되 며 재 부팅 을 자주 하긴 하 ㅂ니다 
설치	윈도우 설치 ㅎ ㅜ 각종 드라이버 를 설치 하 는데 조금 이상 하 ᆫ 소리 도 나 면서 설치 가 되 며 재 부팅 을 자주 하긴 하 ㅂ니다
설치	다만 프리도스 이 라 윈도우 설치 ㅎ ㅜ 업데이트 하 는데 좀 고생 하 았 네요
깔리	여기 서 판매 하 는 제품명 을 보 면 17 ZD 990 - VX 50 K 인 데 대략 17인치 / ZD 윈도우 안 깔리 ㅁ / 990 19 년 출시 / V 썬더볼트 장착 / i5 / K 흰색 이런 식 으로 알 ᆯ 수 있 습니다
설치	램 과 ssd 업글 하고 윈도우 설치 까지 하 아서 받 았 는데 가볍고 너무 좋 네요 근데 케이블 꽂 는 곳 에 살짝 기스
설치	아직 윈도우 설치 중 이 라 업무 에 사용 하 지 는 않 았 지만 화면 만 보 아도 끝내주 네요
설치	윈도우 미 설치 이 기 ᆫ 하지만 설치 는 생각 보다 어렵 지 않 았 습니다 
설치	윈도우 미 설치 이 기 ᆫ 하지만 설치 는 생각 보다 어렵 지 않 았 습니다
설치	윈도우 설치 ㅎ ㅜ 빠르 ᆫ 부팅 속도 도 너무나 마음 에 드 ㅂ니다
정품	전 부터 17인치 를 사용 하 아 보 고 싶 었 는데 그램 은 가볍 어서 더 좋 더라고요 윈도우 는 정품 을 몇 본 가지 고 있 어서 프리도스 모델 로 구입 을 하 았 네요
설치	그램 은 가격 때문 에 고민 을 많이 하 았었 는데 상당히 저렴 하 게 구입 하 았 습니다 우선 배송 이 엄청 빠르 고 포장 도 신경 쓰 어서 하 아 주 시 ᆫ게 보이 ㅂ니다 무게 는 두말 하 ᆯ 것 없이 가볍고 크기 도 크 어서 좋 습니다 같이 구입 하 ᆫ 윈도우 도 설치 하 아 잘 사용 하 ㅂ니다 적극 추천
설치	윈도우 설치 도 만족 하 고 배송 등 다 만족 하 는데 그램 전용 파우치 만 가죽 파우치 로 주 었 으면 100 프로 만족 하 았 을 꺼 같 아요 ㅠㅠ
설치	윈도우 설치 도 잘 하 았 구요
설치	디자인 깔끔 하 고 디스플레이 도 시원 하 게 크 어서 좋 네요 근데 디스플레이 재질 이 다소 비치 어서 저 반사 보호필름 을 붙 아야 하 ᆯ까 보 네요 추가 옵션 없이 단품 구매 하 아서 ？ 도로 윈도우 설치 를 고민 하 아야 하 구요 , , 함께 구매 하 아서 설치 하 아 달 라고 요청 하 ㄹ껄 후회 되 ㅂ니 당 전반 적 으로 만족 만족 
설치	디자인 깔끔 하 고 디스플레이 도 시원 하 게 크 어서 좋 네요 근데 디스플레이 재질 이 다소 비치 어서 저 반사 보호필름 을 붙 아야 하 ᆯ까 보 네요 추가 옵션 없이 단품 구매 하 아서 ？ 도로 윈도우 설치 를 고민 하 아야 하 구요 , , 함께 구매 하 아서 설치 하 아 달 라고 요청 하 ㄹ껄 후회 되 ㅂ니 당 전반 적 으로 만족 만족
설치	윈도우 설치 도 잘 되 ㅂ니다
깔	2 시간 에 걸치 어 윈도우 를 깔 고
설치	윈도우 설치 만 하 면 드라이버 설치 는 자동 
설치	윈도우 설치 만 하 면 드라이버 설치 는 자동
설치	윈도우 미 포함 인 프리도스 이 기 때문 에 윈도우 설치 하 는데 시간 이 좀 걸리 기 ᆫ 하 았 지만 그만큼 싸게 산 것 이 니까 만족 하 ㅂ니다
설치	윈도우 설치 도 어렵 지 않 게 하 았 고 17인치 이 라 그렇게 가볍 지 는 않 지만 다른 것 에 비하 면 가볍 네요
설치	윈도우 까지 깔끔 하 게 설치 되 어 편하 고 좋 네요
정품	그리고 정품 윈도우 os 까지 같이 구매 하 았 는데 정말 배송 도 빠르 게 좋 습니다
설치	아직 윈도우 를 설치 하 지 는 않 았 지만 잘 사용 하 ᆯ 수 있 을 것 같 아요
깔	그램 이 니 성능 은 정말 실망 시키 지 않 네요 윈도우 깔 는데 넘 빠르 어요 ㄷㄷ17인치인데도 생각 보다 가볍 어서 정말 어디 ㄹ 가든 끼 고 다니 게 되 ᆯ 것 같 아요 정말 만족 스럽 ᆫ 쇼핑 이 었 습니다 ♡ ♡ ♡ 잘 쓰 ᆯ게요
설치	처음 화면 에 윈도우 설치 설명 이 되 어 있 어서 설치 도 편하 게 하 았 어요 
설치	처음 화면 에 윈도우 설치 설명 이 되 어 있 어서 설치 도 편하 게 하 았 어요
깔	윈도우 깔 고 잘 사용 하 ᆯ게요
설치	이전 에 너무 무겁 ᆫ 노트북 을 들 고 다니 어서 너무 힘들 었 는데 무게 감도 좋 구 역시 나 밧데리 가 너무나 만족스럽 네요 혼자 서 윈도우 설치 하 는 것 도 어렵 지 않 아서 초짜 인 저 도 설치 하 고 지금 사용 중 이 ㅂ니다 감사합니다 
설치	이전 에 너무 무겁 ᆫ 노트북 을 들 고 다니 어서 너무 힘들 었 는데 무게 감도 좋 구 역시 나 밧데리 가 너무나 만족스럽 네요 혼자 서 윈도우 설치 하 는 것 도 어렵 지 않 아서 초짜 인 저 도 설치 하 고 지금 사용 중 이 ㅂ니다 감사합니다
설치	윈도우10 랑 , 메모리 8g , 장착 및 윈도우 설치 하 아서 배송 받 았 는데요
설치	같 은 모델 타 사이트 에서 비슷 하 ᆫ 가격 , 사은품 이 이 던데 윈도우 가격 이 좀더 비싸 고 설치 가격 도 제법 차이 나 더라구요 , 그것 도 좋 았 네요
깔	지방 이 ᆫ데 도 배송 도 빠르 고 노트북 받 고 집 에 오 아서 윈도우 바로 깔 아서 제 가 하 는 게임 부터 깔 았 네요 
깔	지방 이 ᆫ데 도 배송 도 빠르 고 노트북 받 고 집 에 오 아서 윈도우 바로 깔 아서 제 가 하 는 게임 부터 깔 았 네요
설치	빅스마일데이 때 싸게 구매 하 ᆫ 것 같 아서 너무 좋 네요 윈도우 개봉 ㅎ ㅜ 설치 부탁 드리 었 고 받 아서 는 시리얼 번호 만 ㅜ 입력 하 니까 정품 인증 되 었 습니다 
정품	빅스마일데이 때 싸게 구매 하 ᆫ 것 같 아서 너무 좋 네요 윈도우 개봉 ㅎ ㅜ 설치 부탁 드리 었 고 받 아서 는 시리얼 번호 만 ㅜ 입력 하 니까 정품 인증 되 었 습니다
설치	오늘 올 줄 알 았 는데 늦 은 밤 이 지만 배송 이 생각 보다 빠르 아서 좋 았 고 , 받 고 나 ᆫ ㅎ ㅜ 윈도우 까지 잘 설치 하 았 습니다
설치	윈도우 설치 하 니 모든 드라이버 는 자동 으로 설치 가 되 는군요 
설치	윈도우 설치 하 니 모든 드라이버 는 자동 으로 설치 가 되 는군요
설치	윈도우 설치 하 고 LG 소프트웨어 도 자동 으로 설치 되 어 크 ᆫ 어려움 없이 셋팅 을 마치 었 습니다 
설치	윈도우 설치 하 고 LG 소프트웨어 도 자동 으로 설치 되 어 크 ᆫ 어려움 없이 셋팅 을 마치 었 습니다 
셋팅	윈도우 설치 하 고 LG 소프트웨어 도 자동 으로 설치 되 어 크 ᆫ 어려움 없이 셋팅 을 마치 었 습니다
기본	4 시 쯤 주문 하 고 다음날 받 았 습니다 배송 빠르 고 좋 네요 상품 은 뽁뽁이 로 잘 포장 하 아서 오 았 고 마우스 랑 파우치 모두 잘 받 았 습니다 윈도우 는 기존 에 가지 고 있 던 게 있 어서 프리도스 로 구매 하 니까 정말 저렴 하 게 잘 사 았 네요 램 도 추가 이벤트 로 일반 판매 가 의 반값 에 장착 까지 하 아서 받 았 고 하판 깔끔 하 게 잘 분해 하 았 는지 뜯 은 흔적 이 것 의 안보 입 니 다 저렴 하 ᆫ 가격 에 안전배송 , 빠르 ᆫ 배송 이 장점 인 상품 이 ㅂ니다 사은품 도 기본 적 으로 필요 하 ᆫ 것 들 챙겨주 시 어서 당장 바로 사용 하 기 에 부족 하 ᄆ 이 ᆫ 없 네요 바로 세팅 하 아서 사용 하 니 좋 습니다
설치	윈도우 미 설치 버전 이 라 씨 모스 만 확인 하 았 는데 화면 도 크 고 괜찮 네요
설치	윈도우 설치 랑 램 추가 , 하드용량 업그레이드 하 어 기분 도 좋 고 용량 도 넉넉 하 고 속도 도 빠르 ᆫ 그램 노트북 을 정품 인증 만 하 어 바로 사용 하 게 되 었 지요 
정품	윈도우 설치 랑 램 추가 , 하드용량 업그레이드 하 어 기분 도 좋 고 용량 도 넉넉 하 고 속도 도 빠르 ᆫ 그램 노트북 을 정품 인증 만 하 어 바로 사용 하 게 되 었 지요
설치	컴퓨터 를 잘 모르 아도 윈도우 설치 까지 상세 하 게 안내 되 어 있 어서 좋 아요
설치	오후 4 시 에 결제 하 았 는데 다음날 도착 하 았 어요 윈도우 설치 하 아서 인강 듣 고 인터넷 하 아 보 니 정말 좋 네요 배터리 는 완충 하 아서 75 프로 밝 기 로 인강 듣 고 웹서핑 3 시간 하 아 보 니 배터리 4 시간 50 분 남 았 다고 나오 네요 아무래도 화면 이 크 니까 배터리 가 그렇게 오래가 진 않 아요 그렇 지만 충전 은 빨리 되 는 것 같 아요 화면 비율 도 좋 네요
깔	파우치 가 정말 고급스럽 고 예쁘 어요 미리 준비 하 아 두 ᆫ 부팅 윈도우 10 으로 윈도우 도 깔 았 습니다 부팅 속도 역시 대박 이 네요 약 3 초
깔	아주 좋 아요 윈도우 깔 느라 약간 애먹 었 지만 예쁘 고 가볍 어용
설치	ssd 와 함께 하 니 속도 좋 네요 부팅 usb 가 아 fat32 로 되 어야 하 아서 새로 만들 어서 윈도우 설치 한 것 말 고 이 는다 잘 되 ㅂ니다
설치	램 확장 이랑 윈도우 도 잘 설치 되 어서 오 았 습니다
설치	일자 ㄴ 윈도우 설치 부탁 드리 었 고 , 제대로 잘 설치 되 ᆫ 것 같 아요 
설치	일자 ㄴ 윈도우 설치 부탁 드리 었 고 , 제대로 잘 설치 되 ᆫ 것 같 아요
설치	그리고 윈도우 도 설치 하 아서 받 아서 편하 았 어요
설치	윈도우 설치 하 ᆯ 때 알 아서 와이파이 도 알 아서 잡 던데
설치	윈도우 설치 도 완벽 하 게 되 어 있 어 정품 인증 하 고 바로 사용 가능 하 아서 너무 편하 았 습니다 
정품	윈도우 설치 도 완벽 하 게 되 어 있 어 정품 인증 하 고 바로 사용 가능 하 아서 너무 편하 았 습니다
설치	usb 부팅디스크 를 준비 하 아 놓 으니 윈도우 설치 도 간단 하 었 습니다
설치	윈도우 설치 하 고 부팅 하 니까 빨리 들어오 아 지 어서 좋 네요
설치	윈도우 설치 화면 에서 키보드 가 제대로 누르 어 지 지 않 아 약간 당황 하 았 는데 어찌어찌 넘어가 아서 설치 하 았 습니다 
설치	윈도우 설치 화면 에서 키보드 가 제대로 누르 어 지 지 않 아 약간 당황 하 았 는데 어찌어찌 넘어가 아서 설치 하 았 습니다
설치	업그레이드 이벤트 로 램 을 선택 하 았 는데 , 정말 잔렉 하나 없이 OS 설치 마치 고 윈도우 업데이트 하 는 중 이 ㅂ니다
설치	지금 막 윈도우 설치 하 고 드라이버 깔 고 간단 하 ᆫ 웹서핑 테스트 해보 니 역시 빠르 고 좋 기 ᆫ 좋 네요 
깔	지금 막 윈도우 설치 하 고 드라이버 깔 고 간단 하 ᆫ 웹서핑 테스트 해보 니 역시 빠르 고 좋 기 ᆫ 좋 네요
설치	윈도우 설치 가 안 되 어 있 어서 따로 설치 하 아야 하 는 번거로움 이 있 기 ᆫ 하지만 넘 잘 산 것 같 네요 
설치	윈도우 설치 가 안 되 어 있 어서 따로 설치 하 아야 하 는 번거로움 이 있 기 ᆫ 하지만 넘 잘 산 것 같 네요
설치	윈도우 미 설치 로 구매 하 고 usb 로 처음 설치 하 아 보 는 것 이 라 버벅 되 었 지만 인터넷 에서 방법 을 잘 찾 아서 간신히 설치 도 하 았 습니다 
설치	윈도우 미 설치 로 구매 하 고 usb 로 처음 설치 하 아 보 는 것 이 라 버벅 되 었 지만 인터넷 에서 방법 을 잘 찾 아서 간신히 설치 도 하 았 습니다 
설치	윈도우 미 설치 로 구매 하 고 usb 로 처음 설치 하 아 보 는 것 이 라 버벅 되 었 지만 인터넷 에서 방법 을 잘 찾 아서 간신히 설치 도 하 았 습니다
설치	윈도우 미 설치 로 구매 하 고 usb 로 처음 설치 하 아 보 는 것 이 라 버벅 되 었 지만 인터넷 에서 방법 을 잘 찾 아서 간신히 설치 도 하 았 습니다 
설치	윈도우 미 설치 로 구매 하 고 usb 로 처음 설치 하 아 보 는 것 이 라 버벅 되 었 지만 인터넷 에서 방법 을 잘 찾 아서 간신히 설치 도 하 았 습니다 
설치	윈도우 미 설치 로 구매 하 고 usb 로 처음 설치 하 아 보 는 것 이 라 버벅 되 었 지만 인터넷 에서 방법 을 잘 찾 아서 간신히 설치 도 하 았 습니다
설치	ㅠㅠ 윈도우 설치 도 정말 금방 되 네요 확실히 ssd 이 라 속도 가 빠르 ᆫ 듯 하 ㅂ니다
정품	ssd 업그레이드 하 고 윈도우 정품 구매 하 고 하 니 가격 부담 이 없 지 는 않 았 는데 이왕 구매 하 는 것 하 ᆯ 때 하 자 싶 어 한번 에 구매 하 았 네요
설치	배송 도 윈도우 설치 에 ssd 장착 구매 하 았 는데 도 하루 만 에 하 아 주 시 어서 전반 적 으로 만족 스럽 ᆫ 구매 하 ㅂ니다
설치	역시 그램 이 네요 15인치 랑 고민 하 다가 17인치 결정 하 고 쿠폰 뿌리 ᆯ 때 결제 하 았 는데 잘 한 것 같 아요 램 업그레이드 하 ᆯ 것 이 ᆯ 싶 기 ᆫ 하 ᆫ데 제 가 게임 을 하 지 는 않 아서 괜찮 을 것 같 아요 17인치 이 지만 가볍 어요 화면 이 크 어서 노트북 치 고 영상 보 기 도 좋 아요 윈도우 설치 도 생각 보다 쉽 었 습니다 하지만 정품 없 으시 ᆫ 분 들 은 구매 하 시 거나 미리 설치 받 는게 좋 겠 죠 
