PNword	review
좋	사은품 으로 주 시 ᆫ 노트북 가방 도 슬립 하 니 너무 좋 네요
잘	전용 보관함 에 여러 사은품 까지 잘 받 았 습니다 
받	전용 보관함 에 여러 사은품 까지 잘 받 았 습니다
없	제 가 살 때 ᆫ 한글 오피스 증정 은 없 었 는데 그 사이 사은품 은 더 좋 아 지 었 군요 ㅠㅠ 저렴 하 게 신 것 에 만족 하 아야 하 겠 지만 그것 ᆫ 좀 아쉽 어요 
좋	제 가 살 때 ᆫ 한글 오피스 증정 은 없 었 는데 그 사이 사은품 은 더 좋 아 지 었 군요 ㅠㅠ 저렴 하 게 신 것 에 만족 하 아야 하 겠 지만 그것 ᆫ 좀 아쉽 어요 
저렴	제 가 살 때 ᆫ 한글 오피스 증정 은 없 었 는데 그 사이 사은품 은 더 좋 아 지 었 군요 ㅠㅠ 저렴 하 게 신 것 에 만족 하 아야 하 겠 지만 그것 ᆫ 좀 아쉽 어요 
만족	제 가 살 때 ᆫ 한글 오피스 증정 은 없 었 는데 그 사이 사은품 은 더 좋 아 지 었 군요 ㅠㅠ 저렴 하 게 신 것 에 만족 하 아야 하 겠 지만 그것 ᆫ 좀 아쉽 어요 
좀	제 가 살 때 ᆫ 한글 오피스 증정 은 없 었 는데 그 사이 사은품 은 더 좋 아 지 었 군요 ㅠㅠ 저렴 하 게 신 것 에 만족 하 아야 하 겠 지만 그것 ᆫ 좀 아쉽 어요 
아쉽	제 가 살 때 ᆫ 한글 오피스 증정 은 없 었 는데 그 사이 사은품 은 더 좋 아 지 었 군요 ㅠㅠ 저렴 하 게 신 것 에 만족 하 아야 하 겠 지만 그것 ᆫ 좀 아쉽 어요
만족스럽	만족스럽 습니다 사은품 도 잘 챙겨주 시 었 는데 한글 밸류 팩 이 없 어서 좀 아쉽 네요 
잘	만족스럽 습니다 사은품 도 잘 챙겨주 시 었 는데 한글 밸류 팩 이 없 어서 좀 아쉽 네요 
챙겨주	만족스럽 습니다 사은품 도 잘 챙겨주 시 었 는데 한글 밸류 팩 이 없 어서 좀 아쉽 네요 
없	만족스럽 습니다 사은품 도 잘 챙겨주 시 었 는데 한글 밸류 팩 이 없 어서 좀 아쉽 네요 
좀	만족스럽 습니다 사은품 도 잘 챙겨주 시 었 는데 한글 밸류 팩 이 없 어서 좀 아쉽 네요 
아쉽	만족스럽 습니다 사은품 도 잘 챙겨주 시 었 는데 한글 밸류 팩 이 없 어서 좀 아쉽 네요
없	가볍 어서 들 고 다니 는데 도 1 중 지장 없 고 여자 ᆫ데 도 무게 에 부담 없 어서 좋 네요 용산 에 직접 가 아서 메모리 도 업그레이드 바로 받 고 직접 박스 도 보여주 시 고 하 아서 더 안심 이 되 더라 구용 키스킨 이랑 화면 에 붙이 는 보호대 모두 붙이 었 는데 것 의 기포 없이 잘 붙 었 어요 기본 적 인 사은품 이 많 아서 기타 악세사리 를 제 가 따로 안 사 도 되 니까 추가비용 이 전혀 없 어서 좋 네요 마우스 부터 노트북 케이스 키스킨 화면 보호 스킨 전부 이 다 주 시 고 최고 예 용 
